#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9526120016564396	0.10349321042557348	-0.2300833042781064	1.6e-10	3.911667162042439e-21	-2.1248426159705778e-22	4.723907969796968e-22	4.153559776553011e-21	-2.2562501074446076e-22	5.016017513941271e-22
1.603200e-07	-0.9426407786901697	-0.12777770496422328	0.0015206430318846181	1.6e-10	-3.870724205345506e-21	2.6234225263202643e-22	-3.123138891184791e-24	-4.110081910582856e-21	2.7856865570926104e-22	-3.313984536653907e-24
3.204800e-07	-0.9367746333373823	-0.0713714733108958	0.005910807501295464	1.6e-10	-3.84663571043489e-21	1.4653274313761303e-22	-1.2136046550166158e-23	-4.084505122040242e-21	1.5559836611499122e-22	-1.2885651232096807e-23
4.806400e-07	-0.9273590885126216	-0.08153897365717706	0.03179515587139084	1.6e-10	-3.807972778026767e-21	1.6740910607638898e-22	-6.527943677908903e-23	-4.0434519885347896e-21	1.777631408125588e-22	-6.931636771228774e-23
6.408000e-07	-0.9093200448694149	-0.08091677488827446	-0.00011068508631340087	1.6e-10	-3.7339007607280134e-21	1.6613087497502847e-22	2.2733079889383858e-25	-3.96479755417559e-21	1.7640753415237447e-22	2.4121643138301504e-25
8.009600e-07	-0.8951421028583558	-0.037827441617396394	0.0019583604565703194	1.6e-10	-3.675681709436124e-21	7.766359521507953e-23	-4.021251798312391e-24	-3.9029800586381436e-21	8.246825894306202e-23	-4.268872668353529e-24
9.611200e-07	-0.9000268908295878	-0.06535494469975038	-0.009362044465962473	1.6e-10	-3.695740082968099e-21	1.3417814777380032e-22	1.9223187277754474e-23	-3.9242784055863754e-21	1.4248384717839064e-22	2.0408236786270064e-23
1.121280e-06	-0.9065559265393415	-0.04565154032651717	-0.004959655833242538	1.6e-10	-3.722549639770636e-21	9.372906403469609e-23	1.0182414669404728e-23	-3.9527465278033604e-21	9.95237658720009e-23	1.0812917930120394e-23
1.281440e-06	-0.8929404286638077	-0.04594326140410081	-0.001190351283896686	1.6e-10	-3.666640743148302e-21	9.432553196082256e-23	2.4430766924567616e-24	-3.893380722592039e-21	1.0016242261040188e-22	2.596010932357499e-24
1.441600e-06	-0.8930004039959939	-0.048745976556406286	-0.01096194887748012	1.6e-10	-3.666888006559212e-21	1.0008347246242214e-22	2.2507337647363802e-23	-3.8936411539665114e-21	1.0626868339444472e-22	2.3896883951747795e-23
1.601760e-06	-0.885460063368487	-0.07828552159413127	-0.00424708328952869	1.6e-10	-3.635923948463173e-21	1.607329049015587e-22	8.719224996843753e-24	-3.860765538555747e-21	1.7066647733560098e-22	9.2596488627959e-24
1.761920e-06	-0.9018971129562421	-0.05203852417861182	-0.056054593748716935	1.6e-10	-3.7034185053550215e-21	1.068434401870954e-22	1.1508605579494103e-22	-3.9324341947702576e-21	1.1344678891944089e-22	1.2220530821376318e-22
1.922080e-06	-0.8751629534794048	-0.03053098625725113	-0.0617216092206395	1.6e-10	-3.593642886172435e-21	6.268759490765064e-23	1.2672198393620812e-22	-3.8158666722946425e-21	6.655640038332728e-23	1.3455901850173984e-22
2.082240e-06	-0.9015593608118238	-0.016463193817093255	-0.03960545350068341	1.6e-10	-3.702032084430692e-21	3.380279858523595e-23	8.131407762007842e-23	-3.930961019776226e-21	3.588932878725572e-23	8.634448714407453e-23
2.242400e-06	-0.8830858887617244	-0.024824118458822098	-0.01827085208805278	1.6e-10	-3.6261749679839896e-21	5.096922425960355e-23	3.750939528759764e-23	-3.850413726979152e-21	5.411648076134274e-23	3.983533801912301e-23
2.402560e-06	-0.8823811348509758	-0.03599695561476062	-0.011949526862412477	1.6e-10	-3.6232819544636e-21	7.390771546873134e-23	2.453243151249149e-23	-3.847339914054445e-21	7.847509914498193e-23	2.6052632733005217e-23
2.562720e-06	-0.8935955921677338	0.01661157091211985	-0.06730986927812639	1.6e-10	-3.669331325436974e-21	-3.410382457434981e-23	1.3819538257620867e-22	-3.896237012919444e-21	-3.6216715794113943e-23	1.467419390510183e-22
2.722880e-06	-0.8894821037832596	-0.00698990632307789	-0.05119191131992547	1.6e-10	-3.6524424372499655e-21	1.435179672268321e-23	1.051042044532814e-22	-3.8782991435723925e-21	1.5237942152859223e-23	1.116022144697622e-22
2.883040e-06	-0.9080612759628323	0.007973370915191654	-0.022614734660247143	1.6e-10	-3.728730718352421e-21	-1.6369102986335226e-23	4.642920351529083e-23	-3.959310413664213e-21	-1.7384010988808678e-23	4.930402271774456e-23
3.043200e-06	-0.8947492527479373	-0.01004564745105759	-0.013824193924878495	1.6e-10	-3.674069640392612e-21	2.062667917824168e-23	2.838362348637937e-23	-3.901265998584745e-21	2.18985875350649e-23	3.013712515780291e-23
3.203360e-06	-0.8770690573375165	-0.006230840819272268	-0.034577081652645794	1.6e-10	-3.60147068042061e-21	1.2795032956485537e-23	7.099069102157721e-23	-3.82417671059833e-21	1.358127581326841e-23	7.538164209974354e-23
3.363520e-06	-0.8911932812731503	0.0027351909945409927	-0.029097181602865015	1.6e-10	-3.659467470907839e-21	-5.614397861979965e-24	5.97384123501783e-23	-3.8857618063745106e-21	-5.964367595427553e-24	6.343642606166631e-23
3.523680e-06	-0.870146337351369	0.011294358981427397	-0.01890207446448434	1.6e-10	-3.573042082251511e-21	-2.318513950088385e-23	3.880865738760242e-23	-3.793994733762628e-21	-2.4626635731211434e-23	4.12079040027434e-23
3.683840e-06	-0.8834900845028877	-0.0006071577607460083	-0.001623664721715473	1.6e-10	-3.6278366574763056e-21	1.2488766937168423e-24	3.333648286847968e-24	-3.852173971025029e-21	1.3211620351836233e-24	3.539672278159043e-24
3.844000e-06	-0.8842699158557549	-0.02733993763974897	-0.01154284417365747	1.6e-10	-3.631036700433722e-21	5.613251714725586e-23	2.369612074380286e-23	-3.8555764974496755e-21	5.960336365421401e-23	2.5167478916932776e-23
4.004160e-06	-0.8874708875676517	-0.04387004075845018	-0.027573905719793942	1.6e-10	-3.644180102601056e-21	9.007201605416158e-23	5.661157102719751e-23	-3.869533962134379e-21	9.563928961862778e-23	6.011485658524591e-23
4.164320e-06	-0.8740965633781979	-0.05976499113498037	-0.036043168238415295	1.6e-10	-3.589261856517356e-21	1.2270304639884086e-22	7.40015102308095e-23	-3.8112193601066944e-21	1.3029531278072657e-22	7.857702273985937e-23
4.324480e-06	-0.8802550118359694	-0.06277900062456827	0.025194513085552955	1.6e-10	-3.614549194130175e-21	1.2889212517678983e-22	-5.1729294333274394e-23	-3.83807218998342e-21	1.3686511280536717e-22	-5.492440458504136e-23
4.484640e-06	-0.8851559242775737	-0.022698519483921657	0.009417116988068507	1.6e-10	-3.634675127433889e-21	4.660232461144774e-23	-1.9334503718968525e-23	-3.859439381587512e-21	4.9485489326909986e-23	-2.0530200349477213e-23
4.644800e-06	-0.8712353240414501	-0.03387428070819478	0.023960285079271202	1.6e-10	-3.577513626111023e-21	6.954576401465806e-23	-4.919439423579905e-23	-3.798743033382373e-21	7.385162571837464e-23	-5.223462213925589e-23
