#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9652645481086147	0.1346880253988156	-0.20507897962381086	1.6e-10	1.3782566871855642e-20	-9.615733735759246e-22	1.4641150991596651e-21	1.3782567380385262e-20	-9.61574798365411e-22	1.4641130310087068e-21
1.603200e-07	0.9031992021225769	0.287524894739481	0.011689232540066841	1.6e-10	1.2896362541572256e-20	-2.0527188005015463e-21	-8.344699576974633e-23	1.289636683148015e-20	-2.0527165126980757e-21	-8.345816243422376e-23
3.204800e-07	0.8366502918166303	0.32694082944819586	-0.014206868234971965	1.6e-10	1.1946150632472987e-20	-2.334109894044537e-21	1.0142772080000176e-22	1.1946136369189379e-20	-2.3341273649837926e-21	1.0142559586682663e-22
4.806400e-07	0.7839026005714597	0.366867187834972	0.003127818631105107	1.6e-10	1.1192981474952254e-20	-2.6191582527075693e-21	-2.2322423312978903e-23	1.1192985633895071e-20	-2.6191690562266514e-21	-2.2338255708793323e-23
6.408000e-07	0.6951617943964997	0.3975702122867431	-0.01997750192778607	1.6e-10	9.925894541196034e-21	-2.8383497578635693e-21	1.4263311217470945e-22	9.92589451195654e-21	-2.838371871401519e-21	1.4261642068752296e-22
8.009600e-07	0.5851524236811546	0.41463474157306895	0.014474759075741042	1.6e-10	8.355126788348159e-21	-2.960178734393589e-21	-1.0333212164119198e-22	8.355116168816994e-21	-2.96019943527943e-21	-1.0334628464203722e-22
9.611200e-07	0.5433711205846801	0.4227228086172394	0.004361402978387729	1.6e-10	7.75854019726289e-21	-3.017915501603214e-21	-3.1126750089238755e-23	7.758550860481736e-21	-3.0179484455138465e-21	-3.1147710796516664e-23
1.121280e-06	0.41743431529545116	0.4256124122352314	-0.011794053273339137	1.6e-10	5.960349683471509e-21	-3.038549197697726e-21	8.420958025009582e-23	5.9603542986094355e-21	-3.0385740664977448e-21	8.419226497503087e-23
1.281440e-06	0.3303261581246884	0.44750731848226427	0.0032931016777507445	1.6e-10	4.716565154550836e-21	-3.1948672502276112e-21	-2.3498070593251873e-23	4.716584455485655e-21	-3.194883278146705e-21	-2.352260880906968e-23
1.441600e-06	0.19517234484267687	0.46960915733973635	0.02819281781602021	1.6e-10	2.7867741767056175e-21	-3.3526621045643372e-21	-2.0126313501360633e-22	2.786777548672082e-21	-3.352670383746425e-21	-2.012891026612591e-22
1.601760e-06	0.1205578198944389	0.46807442447241093	0.01770214026264655	1.6e-10	1.7213923256868543e-21	-3.3417079357220775e-21	-1.2636966197192746e-22	1.7213866479480266e-21	-3.3417108100824164e-21	-1.263910311221974e-22
1.761920e-06	0.030481660450351018	0.430135268323725	0.0436715984456218	1.6e-10	4.352372043990658e-22	-3.0708488457958046e-21	-3.1176794057631335e-22	4.352299266445692e-22	-3.0708541938805798e-21	-3.117986640132254e-22
1.922080e-06	-0.06730344096639211	0.4333046387038513	0.055920756519982656	1.6e-10	-9.60990184539714e-22	-3.0934780181085763e-21	-3.9922371859600107e-22	-9.60999377798674e-22	-3.0934789988118236e-21	-3.9924296238791548e-22
2.082240e-06	-0.15555505418876178	0.4194678859930555	0.07027626402766275	1.6e-10	-2.2211063063018725e-21	-2.994691117238355e-21	-5.017075750917686e-22	-2.2210913907392698e-21	-2.9946972920044304e-21	-5.017347743541009e-22
2.242400e-06	-0.22886179621151787	0.38253785101001475	0.05303763099874514	1.6e-10	-3.2678188343870286e-21	-2.7310358632018686e-21	-3.786365776559391e-22	-3.2678051568939995e-21	-2.73104561538495e-21	-3.786632842032161e-22
2.402560e-06	-0.3017486421841089	0.37020401728718577	0.07293959788405982	1.6e-10	-4.308545884399608e-21	-2.6429821386462853e-21	-5.207247276785216e-22	-4.308513396482889e-21	-2.6429902189044935e-21	-5.207461369600163e-22
2.562720e-06	-0.3674851465200223	0.34675359515879395	0.06775868959053598	1.6e-10	-5.247151664424483e-21	-2.475568298198087e-21	-4.837361853141088e-22	-5.2471500484446016e-21	-2.4755663013458904e-21	-4.837588801175647e-22
2.722880e-06	-0.44370735902375014	0.29531182145712126	0.08705763001771921	1.6e-10	-6.335501118548651e-21	-2.1083082313650473e-21	-6.215201300969485e-22	-6.335484203436468e-21	-2.108313015782334e-21	-6.215356015092038e-22
2.883040e-06	-0.4826107449228375	0.29413786553914206	0.1020081830882214	1.6e-10	-6.890990523920517e-21	-2.0999234550832277e-21	-7.282574960994547e-22	-6.890961793692006e-21	-2.0999354173352743e-21	-7.28270284963514e-22
3.043200e-06	-0.5219365818577841	0.3216228657673841	0.11262776695378685	1.6e-10	-7.452496699974002e-21	-2.2961487424015177e-21	-8.04072546109522e-22	-7.452486580649402e-21	-2.296155767007623e-21	-8.040873731991211e-22
3.203360e-06	-0.5657704532506448	0.28074911138167585	0.07986025190659284	1.6e-10	-8.078381703255009e-21	-2.0043424979490913e-21	-5.701391733641883e-22	-8.078368828086196e-21	-2.0043445311689946e-21	-5.701485169514517e-22
3.363520e-06	-0.6294186385736429	0.2605649335800618	0.07808864167999399	1.6e-10	-8.987185916494322e-21	-1.8602451276146592e-21	-5.574941417896319e-22	-8.987170758642748e-21	-1.860241339374269e-21	-5.574975436343107e-22
3.523680e-06	-0.6589106988977496	0.24147036848550665	0.06346971577712311	1.6e-10	-9.408289733989044e-21	-1.7239201199766638e-21	-4.531236690208003e-22	-9.408273985488753e-21	-1.7239238619054444e-21	-4.531311183382163e-22
3.683840e-06	-0.7012191478771983	0.2202484735533448	0.07116832035522001	1.6e-10	-1.0012386055181844e-20	-1.5724142812620589e-21	-5.080838054186361e-22	-1.00123833094693e-20	-1.5724120542250224e-21	-5.080958046978748e-22
3.844000e-06	-0.729635636564325	0.23651407795570162	0.07505608531904223	1.6e-10	-1.0418134295982802e-20	-1.6885377708232004e-21	-5.358439977402836e-22	-1.0418126930873666e-20	-1.6885376250676597e-21	-5.358472147708552e-22
4.004160e-06	-0.7496284757888055	0.19956564710563232	0.04892270100185289	1.6e-10	-1.0703609752126622e-20	-1.4247511776027781e-21	-3.492716506665172e-22	-1.070358852845594e-20	-1.4247546216214185e-21	-3.4927302452712204e-22
4.164320e-06	-0.7856041776891124	0.18942802266359005	0.046740849581452144	1.6e-10	-1.1217292840668611e-20	-1.3523757939947895e-21	-3.3369143714895017e-22	-1.1217266337712398e-20	-1.35237954304531e-21	-3.3369958827303157e-22
4.324480e-06	-0.7983888792470842	0.1822233169711365	0.04957130554446499	1.6e-10	-1.1399836747086683e-20	-1.3009384363426773e-21	-3.538997123506695e-22	-1.1399816141162397e-20	-1.3009442323162361e-21	-3.539060878412529e-22
4.484640e-06	-0.7932046537782872	0.18177204456387652	0.038578302888669834	1.6e-10	-1.13258195363506e-20	-1.2977168484194e-21	-2.7541055691700374e-22	-1.1325787024561665e-20	-1.2977223097115353e-21	-2.7543123035557302e-22
4.644800e-06	-0.8278521902584931	0.1421467131777894	0.059895713877297065	1.6e-10	-1.1820529316626628e-20	-1.014821995355766e-21	-4.276049908263421e-22	-1.1820509619358019e-20	-1.0148253382525405e-21	-4.276182724635762e-22
4.804960e-06	-0.8334079834337571	0.13398955383711839	0.04316811431659016	1.6e-10	-1.1899858358123619e-20	-9.565886238857017e-22	-3.0818034093194936e-22	-1.189983779289852e-20	-9.565863950397335e-22	-3.0819724613284685e-22
4.965120e-06	-0.8553576701314709	0.12450278134906421	0.05547984933935966	1.6e-10	-1.22132680707468e-20	-8.888606054219731e-22	-3.9608302681819003e-22	-1.2213246978485621e-20	-8.888571661585813e-22	-3.960881442013858e-22
5.125280e-06	-0.8639184873357605	0.11832914728419688	0.03155247877632506	1.6e-10	-1.2335506733333865e-20	-8.44782618760318e-22	-2.2525931291596185e-22	-1.2335480233828045e-20	-8.447846804992714e-22	-2.2526397363520854e-22
5.285440e-06	-0.8632054702644137	0.12219101588171138	0.008799283317191682	1.6e-10	-1.2325326597695889e-20	-8.723496107463725e-22	-6.281506406467466e-23	-1.2325298685943126e-20	-8.72359528397163e-22	-6.282584238930352e-23
5.445600e-06	-0.8762314255309078	0.10109425764510309	0.014645712018892858	1.6e-10	-1.2511317795539707e-20	-7.217327870079558e-22	-1.0455478461024541e-22	-1.2511290698728472e-20	-7.217454747432471e-22	-1.0456457986509975e-22
5.605760e-06	-0.8818907903111226	0.10167526695137191	0.05429361179674126	1.6e-10	-1.259212783654772e-20	-7.258789222012279e-22	-3.8761322685258247e-22	-1.2592095574865317e-20	-7.258953034867783e-22	-3.876202056189328e-22
5.765920e-06	-0.8689023241198462	0.10121723140761411	0.07254156683463087	1.6e-10	-1.240666867221038e-20	-7.226131552506468e-22	-5.178872583042249e-22	-1.2406642106996809e-20	-7.226209923427944e-22	-5.179003049967019e-22
5.926080e-06	-0.8775594833106086	0.10530359837854053	0.059983120597131595	1.6e-10	-1.2530277353919793e-20	-7.517856733690945e-22	-4.282355944338255e-22	-1.2530256588903214e-20	-7.51795822748371e-22	-4.282357093961697e-22
6.086240e-06	-0.88206732030676	0.07923139515129717	0.058986264486346925	1.6e-10	-1.2594641069443406e-20	-5.656556533407969e-22	-4.2111829158087554e-22	-1.259462352287839e-20	-5.656528818920355e-22	-4.2111936367298715e-22
6.246400e-06	-0.862839638739553	0.12640588760738236	0.07920526061151331	1.6e-10	-1.2320099979798703e-20	-9.024403946959063e-22	-5.654682420585559e-22	-1.2320078224908657e-20	-9.024509530435726e-22	-5.654671300491135e-22
6.406560e-06	-0.8727693494610095	0.10850258938061402	0.05400152134735325	1.6e-10	-1.2461879294776661e-20	-7.7463260238280375e-22	-3.8552947983244203e-22	-1.2461862425811574e-20	-7.746258102986402e-22	-3.855333280677688e-22
6.566720e-06	-0.8736023864781637	0.10676753240812181	0.0661955721985526	1.6e-10	-1.2473770003281183e-20	-7.622452103207474e-22	-4.725865021861677e-22	-1.2473760819857136e-20	-7.62239124317346e-22	-4.725895317635284e-22
6.726880e-06	-0.8717175353400963	0.08944509300198074	0.06622524140205101	1.6e-10	-1.2446855904201692e-20	-6.385736668835398e-22	-4.728017567190445e-22	-1.2446849079592837e-20	-6.385715476681891e-22	-4.727979101846133e-22
6.887040e-06	-0.8736690701671405	0.08048566956431483	0.04341463290417826	1.6e-10	-1.2474718293430938e-20	-5.746053495478181e-22	-3.0994734094066485e-22	-1.2474716821031979e-20	-5.746123913084073e-22	-3.099501716681867e-22
7.047200e-06	-0.8683776916260073	0.11901386241203181	0.023791489266683057	1.6e-10	-1.2399164106167307e-20	-8.496736202081381e-22	-1.6985198432784e-22	-1.2399164702698106e-20	-8.496704101416742e-22	-1.698557141174517e-22
7.207360e-06	-0.8781218519669246	0.09187224354014244	0.01705475698666676	1.6e-10	-1.2538295978854352e-20	-6.558976078386647e-22	-1.2175557223338842e-22	-1.2538297569468477e-20	-6.559037693076176e-22	-1.2176143423758076e-22
7.367520e-06	-0.8751751833690177	0.09341189876497362	0.014225574530950481	1.6e-10	-1.249622525798729e-20	-6.6688742158512e-22	-1.015526481247353e-22	-1.2496220047621695e-20	-6.668979821078372e-22	-1.0156776737024049e-22
7.527680e-06	-0.860116331646581	0.10651898598789442	0.01654182215636599	1.6e-10	-1.2281204755337439e-20	-7.604674855005828e-22	-1.1809051079838076e-22	-1.2281203758491808e-20	-7.604679693392531e-22	-1.1810253574264383e-22
7.687840e-06	-0.8628220287290516	0.08345646165372468	0.00020575191683627997	1.6e-10	-1.2319835434211495e-20	-5.958159903534571e-22	-1.4646710773834356e-24	-1.231983988006374e-20	-5.958203202967507e-22	-1.4731656309730692e-24
7.848000e-06	-0.8568245557686498	0.07133868968281938	-0.012009704919133116	1.6e-10	-1.2234204658741235e-20	-5.093036081493348e-22	8.574694536392081e-23	-1.2234200356914896e-20	-5.093086275315587e-22	8.57340900225086e-23
8.008160e-06	-0.8522687314081303	0.08850444319031335	-0.00842585294170946	1.6e-10	-1.2169152101551609e-20	-6.31860361245915e-22	6.015170624482738e-23	-1.2169151886085972e-20	-6.318537486455538e-22	6.015716039124275e-23
8.168320e-06	-0.8468351317433107	0.07174862628839146	-0.012728289273263412	1.6e-10	-1.2091570064434987e-20	-5.122334906389789e-22	9.087083642223738e-23	-1.2091566197843568e-20	-5.122320404197086e-22	9.087053350568077e-23
8.328480e-06	-0.8402405375576688	0.06279093460463897	-0.026937873155385903	1.6e-10	-1.1997404662185717e-20	-4.482801301077838e-22	1.9231880239380802e-22	-1.1997409264580645e-20	-4.482826545050503e-22	1.923146595007275e-22
8.488640e-06	-0.8437354832319068	0.03930349589079504	-0.05845065413529493	1.6e-10	-1.2047306834629633e-20	-2.805989330695387e-22	4.1730319562620433e-22	-1.2047312525795243e-20	-2.805975507032605e-22	4.1728672659435893e-22
8.648800e-06	-0.8340021833290175	0.06108840070982552	-0.03181619012236457	1.6e-10	-1.1908326928055852e-20	-4.361232050387637e-22	2.2715210622498914e-22	-1.1908337835495615e-20	-4.361298836627806e-22	2.271365929312571e-22
