#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9554110795247889	0.13108188806221044	-0.20712860074621092	1.6e-10	4.042036592317962e-21	-2.772822467079853e-22	4.381477768858062e-22	4.042036885866601e-21	-2.7728302757876163e-22	4.381466600095621e-22
1.603200e-07	-0.3034265181311522	-0.06010142555817838	0.005662072018242583	1.6e-10	-1.2836846398624828e-21	1.2713345082200787e-22	-1.1979138939304378e-23	-1.2837152163128667e-21	1.2713633463624962e-22	-1.1975265143187113e-23
3.204800e-07	-0.691239828753215	-0.10809545580563332	0.04721778912624948	1.6e-10	-2.9244152551148805e-21	2.2865588763968436e-22	-9.988365164540573e-23	-2.9244111681701334e-21	2.28661190884912e-22	-9.987961505961413e-23
4.806400e-07	-0.8452246360732477	-0.12862120008952097	0.0065426616891039015	1.6e-10	-3.575873786911811e-21	2.7207575777213105e-22	-1.384056044744821e-23	-3.575872942798781e-21	2.720791378070831e-22	-1.383933515016415e-23
6.408000e-07	-0.8312267508545729	-0.08508518472615219	-0.00045259218529638634	1.6e-10	-3.516654323232655e-21	1.7998248225420544e-22	9.553687644779326e-25	-3.516651313427066e-21	1.7998554613789277e-22	9.594029721998451e-25
8.009600e-07	-0.8442854978906374	-0.07510555380576972	0.011703478486451818	1.6e-10	-3.5718982953664216e-21	1.5887224823651806e-22	-2.475780887897238e-23	-3.5719020517244864e-21	1.5887517410330943e-22	-2.475584146306877e-23
9.611200e-07	-0.8452579454502681	-0.06068886964535654	0.014737523132763553	1.6e-10	-3.576014096293476e-21	1.2837315772314193e-22	-3.117310741593883e-23	-3.576014475982025e-21	1.283819144245238e-22	-3.1176609079854774e-23
1.121280e-06	-0.843021955896711	-0.06847662230534826	-0.024876233920646647	1.6e-10	-3.566554893656252e-21	1.4485024163486507e-22	5.2621219690024533e-23	-3.566554174553096e-21	1.4485230525243868e-22	5.262211853401548e-23
1.281440e-06	-0.8429756753764239	-0.10126557491555736	0.00011067933184136948	1.6e-10	-3.566360688831625e-21	2.142081365978484e-22	-2.3508110507165766e-25	-3.5663567833820796e-21	2.1421391442093506e-22	-2.331674912164089e-25
1.441600e-06	-0.8197212029230877	-0.11647063784696411	-0.037253541668073306	1.6e-10	-3.467978560209959e-21	2.4637529452861753e-22	7.880344428386995e-23	-3.467974536917625e-21	2.463744834129282e-22	7.880429893521677e-23
1.601760e-06	-0.8052397411391442	-0.10420990331110845	-0.029755681692711727	1.6e-10	-3.406712499322298e-21	2.2044074058696826e-22	6.29414313330242e-23	-3.406707791119901e-21	2.2043781618125775e-22	6.294527977520107e-23
1.761920e-06	-0.8214723560884739	-0.08492862278217266	-0.11089143639249671	1.6e-10	-3.47538659640955e-21	1.796546148895507e-22	2.3457278899393283e-22	-3.475383631536676e-21	1.7965105042832847e-22	2.3457318333176556e-22
1.922080e-06	-0.7876701336108589	-0.03221778524261239	-0.07276157834035989	1.6e-10	-3.3323817424145894e-21	6.81541151809167e-23	1.539161684243213e-22	-3.3323758402161777e-21	6.814896367202176e-23	1.5391464812375513e-22
2.082240e-06	-0.7784444104531171	-0.011567484149140274	-0.03316723323524894	1.6e-10	-3.2933528887042313e-21	2.447188585998935e-23	7.015720586679823e-23	-3.293342563935548e-21	2.4466416223275438e-23	7.016268162710961e-23
2.242400e-06	-0.7837670896741977	-0.010492111512560371	0.00183991166245536	1.6e-10	-3.315868278248297e-21	2.2198880798906943e-23	-3.894223473724787e-24	-3.315864259190917e-21	2.218986588198473e-23	-3.8898505295189776e-24
2.402560e-06	-0.7978472678793131	-0.05359928098227489	-0.00344898441117815	1.6e-10	-3.37543494165756e-21	1.1338349844121185e-22	7.294680286544742e-24	-3.375434999202669e-21	1.1337780635690307e-22	7.296862500805286e-24
2.562720e-06	-0.7982353552693969	0.004544110278981667	-0.052210911505166144	1.6e-10	-3.3770784199338237e-21	-9.609765165430374e-24	1.10443270822527e-22	-3.3770752666233865e-21	-9.614902521295745e-24	1.1044428953592654e-22
2.722880e-06	-0.8009757586038151	0.02968406110393933	-0.016121407978391934	1.6e-10	-3.388675456735623e-21	-6.278975429089163e-23	3.410105222900176e-23	-3.3886657585922816e-21	-6.279395318821289e-23	3.410343554436819e-23
2.883040e-06	-0.8022484825468423	0.012269215066255197	-0.012025290806121833	1.6e-10	-3.3940580740723076e-21	-2.5952166290813723e-23	2.5438763142314397e-23	-3.39405211187701e-21	-2.595493328510505e-23	2.5436371433134514e-23
3.043200e-06	-0.7885413301549575	-0.02903476147396167	-0.006274586516743713	1.6e-10	-3.3360680287016162e-21	6.142195592098426e-23	1.3275497462352894e-23	-3.3360610580973633e-21	6.141477395770402e-23	1.3270258407517684e-23
3.203360e-06	-0.7754217541013172	-0.03470659540423247	-0.01843947728687012	1.6e-10	-3.2805632634121698e-21	7.341934555330465e-23	3.900487195362686e-23	-3.280556416991191e-21	7.341308794549461e-23	3.9006621039224984e-23
3.363520e-06	-0.7609575950562143	-0.031154476534549596	-0.048014816028821815	1.6e-10	-3.219371527698434e-21	6.590429502477322e-23	1.0156428253368637e-22	-3.2193617506152328e-21	6.590026689380071e-23	1.0157094849163287e-22
3.523680e-06	-0.7601124603736464	0.009033779444130748	0.011366624158907086	1.6e-10	-3.2157919080935512e-21	-1.9104801003417132e-23	-2.404541873160542e-23	-3.2157903845888884e-21	-1.91142118686712e-23	-2.4043109193984616e-23
3.683840e-06	-0.7857225790679826	-0.006349895206171043	0.022598878169797283	1.6e-10	-3.324142412100544e-21	1.3433195400790377e-23	-4.7805983514710565e-23	-3.3241362177316527e-21	1.343116724425102e-23	-4.780259556523199e-23
