#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9757588859177061	0.0924464838159343	-0.1825239905604503	1.6e-10	1.1272266658899437e-19	-5.339844649762894e-21	1.0542873049905326e-20	1.1021471772771324e-19	-5.221051705323916e-21	1.0308293159137766e-20
1.603200e-07	-0.9836592535139743	0.003700457731704783	0.008632643176434083	1.6e-10	-1.1363533830081252e-19	-2.137506475736555e-22	-4.986468369597921e-22	-1.111070894796933e-19	-2.089822407180264e-22	-4.875289564141672e-22
3.204800e-07	-0.982336450962328	-0.009406312582389118	0.033259750515465605	1.6e-10	-1.1348252921698233e-19	5.433237105369846e-22	-1.9211668094170453e-21	-1.1095767021873765e-19	5.312341496140457e-22	-1.8783597763106525e-21
4.806400e-07	-0.980929609794763	0.0021585697213021377	0.0015171427455133717	1.6e-10	-1.1331999730586007e-19	-1.2469920744406868e-22	-8.762309747301779e-23	-1.1079877256103586e-19	-1.218918664588467e-22	-8.569189687607108e-23
6.408000e-07	-0.9842396045779195	-0.004072757804063399	-0.0025564724181862193	1.6e-10	-1.1370238213837437e-19	2.3526319478821017e-22	1.4765179517620652e-22	-1.1117264186788563e-19	2.300007234897812e-22	1.4439395324845834e-22
8.009600e-07	-0.9842465955835981	-0.01645781608308447	0.0029239548480903036	1.6e-10	-1.13703199483915e-19	9.506233065928232e-22	-1.6890331201051074e-22	-1.1117342208572428e-19	9.294836577343434e-22	-1.6512361857240775e-22
9.611200e-07	-0.9817226102420578	-0.014273044525780957	-0.008303439521956973	1.6e-10	-1.1341161055486164e-19	8.244108903874194e-22	4.796416368877112e-22	-1.1088834089921838e-19	8.061117645763722e-22	4.689269042124242e-22
1.121280e-06	-0.9836411680006634	-0.008092599810151337	0.030362614211928648	1.6e-10	-1.1363324843868784e-19	4.674301023045308e-22	-1.7538069444539675e-21	-1.1110504722112935e-19	4.570515656085237e-22	-1.7147562399830144e-21
1.281440e-06	-0.9845087132293061	-0.008739167647039844	-0.02867692409101602	1.6e-10	-1.1373348286235191e-19	5.047886589413251e-22	1.6563963906621074e-21	-1.1120302635159892e-19	4.935559391430797e-22	1.6195957594558987e-21
1.441600e-06	-0.9822832246289519	0.01668860409968175	-0.010468459574099578	1.6e-10	-1.1347638671535187e-19	-9.639686802780996e-22	6.046848386225312e-22	-1.109516519747569e-19	-9.425034684938383e-22	5.912108049201874e-22
1.601760e-06	-0.9817284155019109	0.0008198165120917322	-0.014411830356389712	1.6e-10	-1.13412286662528e-19	-4.7350274446006206e-23	8.324561009535155e-22	-1.1088899131488008e-19	-4.630377452595763e-23	8.1392201138127065e-22
1.761920e-06	-0.9800673398027814	0.008881597458209352	0.004998573555062714	1.6e-10	-1.1322040654321266e-19	-5.130375241925856e-22	-2.887283308275957e-22	-1.1070135604596447e-19	-5.015786129688739e-22	-2.8229854166754517e-22
1.922080e-06	-0.9770597701028289	0.004534412329068465	-0.015340615878759274	1.6e-10	-1.1287296066986412e-19	-2.6191789752643854e-22	8.860852450048685e-22	-1.1036164467788779e-19	-2.560841558824642e-22	8.66394859697482e-22
2.082240e-06	-0.9810872075202332	0.0047568526081279315	0.00010431893839026645	1.6e-10	-1.1333821206298835e-19	-2.7476536617821285e-22	-6.0033847137167904e-24	-1.1081656533879004e-19	-2.6864777736739933e-22	-5.913140639244516e-24
2.242400e-06	-0.9795634030960154	-0.0002851437413888668	-0.0007827102292093874	1.6e-10	-1.1316216825789232e-19	1.6446136279464992e-23	4.524070295696477e-23	-1.1064445629204807e-19	1.612738419784154e-23	4.4175399460910435e-23
2.402560e-06	-0.9820494616536949	0.0015377784134486562	0.007962739817019749	1.6e-10	-1.134493735048173e-19	-8.882134590614271e-23	-4.59938324516009e-22	-1.1092525573833976e-19	-8.685121219813342e-23	-4.497086744361492e-22
2.562720e-06	-0.9801404247204424	-0.022732177881273404	-0.016777906487695973	1.6e-10	-1.132288473531237e-19	1.313030307600179e-21	9.691219959105394e-22	-1.1070961331336108e-19	1.2838465807454439e-21	9.475517292589607e-22
2.722880e-06	-0.9773659903877541	-0.015164334485736506	0.000757709128142292	1.6e-10	-1.1290833112047005e-19	8.75963608922338e-22	-4.3791091650675555e-23	-1.1039623803133673e-19	8.563802631352959e-22	-4.276877220553379e-23
2.883040e-06	-0.9753938655133977	-0.0017619528787127497	-0.0007257422725250976	1.6e-10	-1.1268049849264266e-19	1.0176919639431661e-22	4.1930696339849344e-23	-1.1017348746614998e-19	9.951256747056515e-23	4.09769272435218e-23
3.043200e-06	-0.9790784996883712	-0.0020786902828524383	0.023124248755483537	1.6e-10	-1.131061553827487e-19	1.2007437147779271e-22	-1.3356801434893633e-21	-1.1058968056528704e-19	1.1739111725188728e-22	-1.3059862108824101e-21
3.203360e-06	-0.9775025041358887	-0.007224974567988202	0.011606707909969234	1.6e-10	-1.129240890321226e-19	4.1733212972076365e-22	-6.703623367265614e-22	-1.1041166984830315e-19	4.0803432627588745e-22	-6.555624062507869e-22
3.363520e-06	-0.9782302261884824	-0.01585566510421648	-0.009907079597787012	1.6e-10	-1.1300815355900742e-19	9.158630760231602e-22	5.722378209315995e-22	-1.1049387214520997e-19	8.954560167999011e-22	5.595263091963878e-22
3.523680e-06	-0.9813765867304926	-0.01125312945458768	0.016384710813898095	1.6e-10	-1.133716327172552e-19	6.500228696980466e-22	-9.463872777934378e-22	-1.1084926058320294e-19	6.355122723195645e-22	-9.253678963205944e-22
3.683840e-06	-0.9728570648437318	0.011259408577372565	0.01214152291600524	1.6e-10	-1.1238744600665667e-19	-6.503887584112037e-22	-7.012912184882943e-22	-1.0988694234286516e-19	-6.358637927153283e-22	-6.857307912242094e-22
3.844000e-06	-0.9754922080588428	0.004660489201195295	-0.008354931571095217	1.6e-10	-1.1269185874970737e-19	-2.6917617137538266e-22	4.826051925281233e-22	-1.101845960931809e-19	-2.632279310642822e-22	4.718453793503131e-22
4.004160e-06	-0.978795489019663	0.016599667534199197	-0.02436990902372544	1.6e-10	-1.1307347170461838e-19	-9.58813057500748e-22	1.407633151740642e-21	-1.1055770344048283e-19	-9.374986134656803e-22	1.3763349264966234e-21
4.164320e-06	-0.9769259651027585	-0.007446294664580773	-0.027741972793238753	1.6e-10	-1.1285748873606363e-19	4.30116182249853e-22	1.6024428961072274e-21	-1.1034654496936488e-19	4.205334343222151e-22	1.566743835641703e-21
4.324480e-06	-0.9776736133054154	0.015313576128822394	-0.020189110153586484	1.6e-10	-1.1294386370512117e-19	-8.845451944001809e-22	1.1661627718061527e-21	-1.1043098972073545e-19	-8.648465889781056e-22	1.1401999876024097e-21
4.484640e-06	-0.9756910987610361	-0.003982384929547334	0.010459299702180474	1.6e-10	-1.12714839462375e-19	2.300128798399321e-22	-6.041183435107823e-22	-1.102070572369526e-19	2.249261327950922e-22	-5.907297913194241e-22
4.644800e-06	-0.9656637558038228	-0.017511304996022242	0.023328935080325415	1.6e-10	-1.1155646196156573e-19	1.0114972874556699e-21	-1.3475097423125925e-21	-1.0907442894007243e-19	9.88958762565134e-22	-1.3175397537359173e-21
4.804960e-06	-0.9676246055166032	-0.00027363855574754947	-0.016496353429172564	1.6e-10	-1.117829712694271e-19	1.579124890307671e-23	9.528105140306146e-22	-1.0929592610868196e-19	1.5468228080342723e-23	9.316977322776558e-22
4.965120e-06	-0.9665134943890865	-0.017586800637700392	-0.018166815505329746	1.6e-10	-1.116546089754082e-19	1.0158199575971047e-21	1.0493377936571727e-21	-1.0917042619504964e-19	9.932594350175945e-22	1.026001757989583e-21
5.125280e-06	-0.9690350842568946	-0.03156118689200664	-0.010725188009335727	1.6e-10	-1.1194590142108724e-19	1.823011620442621e-21	6.195073615044971e-22	-1.0945525597344762e-19	1.7824732571850034e-21	6.057162188166527e-22
5.285440e-06	-0.9644619763936747	-0.007055794921161443	-0.00016471410862389126	1.6e-10	-1.1141761689361967e-19	4.075790384929914e-22	9.538865140491577e-24	-1.0893869603300782e-19	3.984612425537312e-22	9.278467616869192e-24
5.445600e-06	-0.960066656776224	0.0037683486181690445	-0.01436291076422109	1.6e-10	-1.109098446586181e-19	-2.1765440631210227e-22	8.296026722134929e-22	-1.08442243349946e-19	-2.128336733366899e-22	8.111861463214857e-22
5.605760e-06	-0.9640675713187813	-0.004886854024158895	0.014683076917152324	1.6e-10	-1.1137206957364725e-19	2.822751586882579e-22	-8.48144418185126e-22	-1.0889413176117085e-19	2.759890984488673e-22	-8.292209552560532e-22
5.765920e-06	-0.9579341188856411	-0.02248925544283578	-0.006074612871563735	1.6e-10	-1.1066349529665646e-19	1.2990875864294722e-21	3.508498025763629e-22	-1.0820135944501815e-19	1.2700409670746832e-21	3.431006394118468e-22
5.926080e-06	-0.954048162044413	0.0031941795251185915	0.00126829274206531	1.6e-10	-1.102145629475171e-19	-1.8454194953389256e-22	-7.320081389643159e-23	-1.0776244389571748e-19	-1.8035578195107502e-22	-7.168464031625397e-23
6.086240e-06	-0.9605024613806177	0.019262691849427197	0.01361394403451233	1.6e-10	-1.109602087098756e-19	-1.112691840503248e-21	-7.8639457183890435e-22	-1.084914506945322e-19	-1.0878399880166202e-21	-7.688353997538047e-22
6.246400e-06	-0.9417981635365	0.0051980134954401356	0.049629446533424056	1.6e-10	-1.0879940863343335e-19	-3.0019682139408574e-22	-2.866649561412936e-21	-1.0637876893624662e-19	-2.9361213913997325e-22	-2.802915836992078e-21
6.406560e-06	-0.9487544732608219	-0.023161964206893842	0.005318702983901299	1.6e-10	-1.0960305914315192e-19	1.337838304807828e-21	-3.072290035534068e-22	-1.0716446858253682e-19	1.308135984807267e-21	-3.003690795821152e-22
6.566720e-06	-0.9326542080184098	0.017648188423060526	0.05383293089891216	1.6e-10	-1.0774310936143426e-19	-1.0193680187160825e-21	-3.109429921718172e-21	-1.0534589593127283e-19	-9.967242550112615e-22	-3.040332333440014e-21
6.726880e-06	-0.9249411059153638	-0.029947984324003175	-0.002241727505264538	1.6e-10	-1.0685203718133821e-19	1.7298460482797546e-21	1.2948418678003265e-22	-1.0447470929670306e-19	1.6913503359901939e-21	1.2660611765567048e-22
6.887040e-06	-0.9266004970989669	0.024658195115429306	0.007949758602373593	1.6e-10	-1.0704376637565511e-19	-1.4242897912872113e-21	-4.591406142062334e-22	-1.0466211190930072e-19	-1.3926116400357374e-21	-4.490220211896458e-22
7.047200e-06	-0.9127757174190413	0.018367403976175253	0.02386110250054516	1.6e-10	-1.0544663811757455e-19	-1.0609271408698159e-21	-1.378311324837978e-21	-1.0310060986867968e-19	-1.0373273150643901e-21	-1.3475337404261884e-21
7.207360e-06	-0.9081423607989462	-0.004093649078901105	-0.019582142659815355	1.6e-10	-1.0491136255291788e-19	2.3657803658325223e-22	1.1311016363345134e-21	-1.0257727465973303e-19	2.310756536915849e-22	1.1059223473123996e-21
7.367520e-06	-0.8739919197206623	-0.028353700001191126	-0.035942898867689574	1.6e-10	-1.0096620890998778e-19	1.6377584730817822e-21	2.076164078449217e-21	-9.87198760354176e-20	1.601310166780453e-21	2.029880296526644e-21
7.527680e-06	-0.8041388217037911	0.06137717191025179	-0.004261298263061976	1.6e-10	-9.289655885176726e-20	-3.545358214980423e-21	2.4620412680395884e-22	-9.082977687720868e-20	-3.466247414185826e-21	2.405997624101655e-22
7.687840e-06	-0.7586916470071418	-0.06691172267816468	-0.008943582835600521	1.6e-10	-8.764639294927376e-20	3.864983890689487e-21	5.166611902534533e-22	-8.569635981787801e-20	3.778875727615322e-21	5.0503730634839e-22
7.848000e-06	-0.43903803290924065	0.005501755877421662	-0.08784028498020463	1.6e-10	-5.071873243561536e-20	-3.178761048699227e-22	5.073866366600899e-21	-4.959086626902311e-20	-3.106357451315196e-22	4.96082973486842e-21
8.008160e-06	-0.11165844587673909	0.11772736113057185	-0.008112152700505672	1.6e-10	-1.289907536187385e-20	-6.800278375095929e-21	4.684427086924029e-22	-1.2612186420457435e-20	-6.648658570717961e-21	4.582691904267606e-22
8.168320e-06	0.4424402880805747	-0.08543677260233945	-0.09840111667739604	1.6e-10	5.1112175541830434e-20	4.934904050849509e-21	5.683821228567489e-21	4.9974768398940784e-20	4.82521583912026e-21	5.557320989320357e-21
8.328480e-06	0.8152320982475872	-0.04387844722118225	-0.06777818458524887	1.6e-10	9.417811996678298e-20	2.5345701421773615e-21	3.91497430506535e-21	9.2082762979194e-20	2.478016066540705e-21	3.827866434975965e-21
8.488640e-06	0.8309006847449886	0.044045330232517305	0.0434026620260206	1.6e-10	9.598818533055568e-20	-2.5441891005783008e-21	-2.507004612250174e-21	9.385259140532063e-20	-2.4874608789656905e-21	-2.4512264086904158e-21
8.648800e-06	0.8743939585562666	0.012415579005506154	-0.012977606524538632	1.6e-10	1.0101266088210539e-19	-7.171346777911649e-22	7.49641616752255e-22	9.876528045802368e-20	-7.011953401753075e-22	7.328945531659903e-22
8.808960e-06	0.9128689753529163	-0.005730541787629811	0.034735871593853114	1.6e-10	1.0545742218542649e-19	3.3110998980312174e-22	-2.0063704602937602e-21	1.0311113330445149e-19	3.235384475684216e-22	-1.9617834141660916e-21
8.969120e-06	0.9147752004192659	-0.014437353989186667	0.018588404784619594	1.6e-10	1.0567763658115953e-19	8.339644234703948e-22	-1.0737376042981254e-21	1.0332644542720861e-19	8.153304623548904e-22	-1.0497648638296475e-21
9.129280e-06	0.934733550034316	-0.012907343856036983	0.02115065422896123	1.6e-10	1.0798329217567479e-19	7.455297350520851e-22	-1.221702364006577e-21	1.0558079178314091e-19	7.289781911320298e-22	-1.1945051939408968e-21
9.289440e-06	0.9310210104910313	-0.015084217422383068	0.04375138340798362	1.6e-10	1.0755440933388291e-19	8.712821979568187e-22	-2.527172186767979e-21	1.0516144886521014e-19	8.519076757874328e-22	-2.4708967845019943e-21
9.449600e-06	0.942634064590868	-0.020237741061073053	-0.03941746946125585	1.6e-10	1.0889596553372277e-19	1.1689070433728243e-21	2.27681363337313e-21	1.0647319501264048e-19	1.1430092973464085e-21	2.226157164430511e-21
9.609760e-06	0.9527524485865833	-0.010852024663446973	0.01582024577772814	1.6e-10	1.100649142257031e-19	6.268376696276041e-22	-9.137727252018835e-22	1.0761605439139237e-19	6.128755895886917e-22	-8.934988212726772e-22
9.769920e-06	0.9568292052280792	0.06138376475171389	-0.018368894418437923	1.6e-10	1.1053586763848234e-19	-3.5456126787009e-21	1.060988315571848e-21	1.080765414209311e-19	-3.4667423683389845e-21	1.037435671505348e-21
9.930080e-06	0.9617413458577311	0.025677689451649027	0.024238709136245117	1.6e-10	1.111033415540983e-19	-1.483142119971941e-21	-1.400064251494498e-21	1.0863137347607207e-19	-1.4502232137811217e-21	-1.3689160988935384e-21
1.009024e-05	0.9630394630506051	0.007402487984863187	0.00827143870142022	1.6e-10	1.1125327711330696e-19	-4.276086874693989e-22	-4.777922608885448e-22	1.087780256082969e-19	-4.180372198478809e-22	-4.671205456461619e-22
1.025040e-05	0.9659210573958491	-0.0162547950386234	-0.010513290407095479	1.6e-10	1.1158616800853637e-19	9.388378621165023e-22	6.072798794212332e-22	1.091035095660657e-19	9.18074662097546e-22	5.937373114156189e-22
