#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9692959431766396	0.13661817855102332	-0.20122631678109215	1.6e-10	2.21463406354744e-19	-1.561989170929939e-20	2.297261924021943e-20	2.2145810909215817e-19	-1.559406885918678e-20	2.3002743565101466e-20
1.603200e-07	0.9439227437150712	0.30859690028383074	0.007860903222716134	1.6e-10	2.1569594156922337e-19	-3.5210550079371616e-20	-8.914710744670407e-22	2.1563124486652174e-19	-3.5296403014333646e-20	-9.045562637521368e-22
3.204800e-07	0.9168409430045813	0.3620978322218459	-0.0004136224627293677	1.6e-10	2.0954452989908318e-19	-4.128683847829622e-20	7.081598480806699e-23	2.0940757965466201e-19	-4.1443787324631905e-20	2.3685946099325703e-23
4.806400e-07	0.8825191954837158	0.4169607151924186	0.0045116374831180575	1.6e-10	2.017520498186547e-19	-4.752098144395533e-20	-5.052443164190053e-22	2.0151667693959426e-19	-4.774448954463541e-20	-5.255557241117414e-22
6.408000e-07	0.8275546200144268	0.48865376224753393	0.0034708327234645826	1.6e-10	1.8927862690284716e-19	-5.566991226265773e-20	-3.917780117318836e-22	1.8887393879649776e-19	-5.597569221013428e-20	-4.0122312527906723e-22
8.009600e-07	0.7612634720046794	0.5544555580646287	0.0010807090646410115	1.6e-10	1.7423663215180328e-19	-6.315146918914573e-20	-1.1133409043525647e-22	1.7362407543612384e-19	-6.352825941423704e-20	-1.3558094262566847e-22
9.611200e-07	0.6849168050970226	0.6092234912164284	0.010979610571407531	1.6e-10	1.5692851234875004e-19	-6.938315973677569e-20	-1.2346204073869841e-21	1.560454510050483e-19	-6.980972121537357e-20	-1.2739545541651083e-21
1.121280e-06	0.5929949907772767	0.6565757011994364	0.017517512513045518	1.6e-10	1.3608248394850394e-19	-7.476633818483207e-20	-1.989806753511109e-21	1.3488764166083946e-19	-7.524538139503576e-20	-2.0125208106188532e-21
1.281440e-06	0.4924530951745553	0.6951758108753413	0.020367844845338923	1.6e-10	1.1326866222620359e-19	-7.917522976350184e-20	-2.3241689483959803e-21	1.1175866354593675e-19	-7.965568489826339e-20	-2.329390383399374e-21
1.441600e-06	0.3978890138235334	0.7190014141257439	0.022223868625145554	1.6e-10	9.182173783279489e-20	-8.190662621371224e-20	-2.533095496401122e-21	8.999436226477434e-20	-8.236786462666405e-20	-2.5445209713275322e-21
1.601760e-06	0.30321583413369024	0.7301207890819592	0.035303337258496104	1.6e-10	7.032507391867665e-20	-8.320050340678741e-20	-4.032230018577475e-21	6.822994791973815e-20	-8.361449651855031e-20	-4.033729816178303e-21
1.761920e-06	0.2022325423515643	0.734961058650006	0.02851918789732495	1.6e-10	4.738478091730173e-20	-8.379048418860066e-20	-3.2662296980687226e-21	4.5025744798165153e-20	-8.413040084334016e-20	-3.249715769375364e-21
1.922080e-06	0.1076346624208665	0.7347638891392062	0.03331064479293749	1.6e-10	2.5852931109113762e-20	-8.381380954524155e-20	-3.818534207003915e-21	2.3330924543122596e-20	-8.406202730385809e-20	-3.792143386296242e-21
