#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.969178405115085	0.13320642286048445	-0.2028236837365547	1.6e-10	3.3150292393085334e-19	-2.2847784934928593e-20	3.460417726961895e-20	3.3296444804385834e-19	-2.281409957163119e-20	3.4924976466158746e-20
1.603200e-07	0.9206081041255817	0.34300557282494565	0.003390243304466394	1.6e-10	3.1529257530642233e-19	-5.818067768933724e-20	-5.516312443745046e-22	3.15867485111815e-19	-5.9409547550922e-20	-6.115992312380151e-22
3.204800e-07	0.8530174125246822	0.42375002021550073	0.00529531976642308	1.6e-10	2.927478395855746e-19	-7.169210226388928e-20	-8.79190047120357e-22	2.920596290963613e-19	-7.358328260379624e-20	-9.373103565860804e-22
4.806400e-07	0.7551798190076083	0.5029494367984446	0.0005408418334893536	1.6e-10	2.6007674598610874e-19	-8.503578935117198e-20	-8.843801289879822e-23	2.576366480095591e-19	-8.739278639704339e-20	-9.819891493519544e-23
6.408000e-07	0.6483164552105523	0.5418755003043021	0.00581267972641257	1.6e-10	2.244454487174807e-19	-9.160517224892647e-20	-9.681753951110485e-22	2.1998363330692747e-19	-9.416764419007379e-20	-1.0261937647002085e-21
8.009600e-07	0.5568173874565977	0.5673795627598343	0.007575193782383538	1.6e-10	1.9384730121187904e-19	-9.599732135519671e-20	-1.2527649320793713e-21	1.8783619792248967e-19	-9.851658074789196e-20	-1.3464496775955024e-21
9.611200e-07	0.47655367510248664	0.5768937207121771	0.010659704207152391	1.6e-10	1.669678852269665e-19	-9.769513927712182e-20	-1.7676948239239964e-21	1.5967684766463396e-19	-1.0007683666717262e-19	-1.8889445278424376e-21
1.121280e-06	0.39786215726572816	0.5804845974437478	0.003746642772891785	1.6e-10	1.405370152625908e-19	-9.844283062123655e-20	-5.93409307788438e-22	1.3214925116384706e-19	-1.0055551418123176e-19	-6.939749811870794e-22
1.281440e-06	0.32538151466437515	0.5894619582252928	0.0030825764562937776	1.6e-10	1.1609138554846458e-19	-1.0015427909724812e-19	-4.878809897681059e-22	1.0689877405929765e-19	-1.019162871687596e-19	-5.719480719026275e-22
1.441600e-06	0.26571762278456296	0.5808763840367691	0.0009835170420999949	1.6e-10	9.596978434558683e-20	-9.883686427875312e-20	-1.4567214437062874e-22	8.611244264978065e-20	-1.0028594610091323e-19	-1.9410878115493008e-22
1.601760e-06	0.2066076360210553	0.5720787583746498	0.0013202802764970105	1.6e-10	7.596865305834727e-20	-9.748615697288873e-20	-1.9256479922131273e-22	6.558851534912016e-20	-9.8615682825408e-20	-2.629359081817645e-22
1.761920e-06	0.1542781420841368	0.5660057895426898	-0.006390301409818852	1.6e-10	5.816895303363484e-20	-9.658722517763379e-20	1.1163304699268883e-21	4.751378381887559e-20	-9.742914463773255e-20	1.0713002744819313e-21
1.922080e-06	0.10118323418668068	0.5554146297266415	-0.0034878465795460793	1.6e-10	4.0095385094290206e-20	-9.493074161699589e-20	6.247517425999619e-22	2.918932735160402e-20	-9.545089975182041e-20	5.680400595985291e-22
2.082240e-06	0.05005374196191529	0.5512133083710622	-0.004253428796890517	1.6e-10	2.2613457249817206e-20	-9.435035520597486e-20	7.565488473512185e-22	1.1621983319406083e-20	-9.458811708844447e-20	6.980277968990154e-22
2.242400e-06	0.004614651425049625	0.5347849657431242	-0.007740928725659674	1.6e-10	7.095444899220053e-21	-9.166698428363309e-20	1.3249706309879065e-21	-4.0076805183744824e-21	-9.163729725654802e-20	1.3262735871578397e-21
2.402560e-06	-0.039338356846201586	0.5259727285022829	-0.006186590537733808	1.6e-10	-7.984041102341369e-21	-9.02532549110336e-20	1.0573666509479265e-21	-1.9055885651408214e-20	-9.002845555988532e-20	1.0606688938144367e-21
2.562720e-06	-0.07813915572444619	0.5125481131748754	-0.009201984076126548	1.6e-10	-2.1268603631229834e-20	-8.803078766577707e-20	1.5594709466085397e-21	-3.236700488922922e-20	-8.764776382896646e-20	1.5925032086721578e-21
2.722880e-06	-0.11802607219014885	0.49517931930964154	-0.012614112472493897	1.6e-10	-3.4973071203244817e-20	-8.512473395802033e-20	2.1486501182993708e-21	-4.6002698657372187e-20	-8.45990212411937e-20	2.1724257986137762e-21
2.883040e-06	-0.1556559482271468	0.4799500082200129	-0.01856176041499247	1.6e-10	-4.79051235346174e-20	-8.259652939148447e-20	3.1448949492292904e-21	-5.886375753081793e-20	-8.190618133220676e-20	3.215149516612385e-21
3.043200e-06	-0.18394338104098096	0.470978393011977	-0.014075314109025497	1.6e-10	-5.763752406385775e-20	-8.109902576502964e-20	2.394155103259768e-21	-6.852022202674951e-20	-8.032819915644442e-20	2.4272780428272946e-21
3.203360e-06	-0.21624302508320178	0.45815570885020757	-0.014450594312118691	1.6e-10	-6.875016262577772e-20	-7.89582982849814e-20	2.4536847428173602e-21	-7.954670754087136e-20	-7.807364060359601e-20	2.4967002186805296e-21
3.363520e-06	-0.24433305259816454	0.44587012220223	-0.01435484623968396	1.6e-10	-7.842268107503913e-20	-7.688350455657068e-20	2.418377284891916e-21	-8.912750638794033e-20	-7.593786841607993e-20	2.5000666183340696e-21
3.523680e-06	-0.2652848358638803	0.4352471483278164	-0.016562875978582817	1.6e-10	-8.564404694279451e-20	-7.509324457276266e-20	2.807771829556344e-21	-9.626750177261715e-20	-7.408688922511039e-20	2.867136595728666e-21
3.683840e-06	-0.28651992192619835	0.4175649556761277	-0.014360984650542577	1.6e-10	-9.29517155715051e-20	-7.211178281392793e-20	2.428675807965272e-21	-1.0351475062016113e-19	-7.100749374443886e-20	2.4919196548656927e-21
3.844000e-06	-0.30568846309393455	0.40192586455681556	-0.014968818017781417	1.6e-10	-9.956154786339989e-20	-6.946958677875938e-20	2.536840817608854e-21	-1.100438671923391e-19	-6.828912739295129e-20	2.591936218356454e-21
4.004160e-06	-0.32443079632737476	0.38396364574922887	-0.018115900373783023	1.6e-10	-1.0602281375677343e-19	-6.640194116483133e-20	3.0823938714183733e-21	-1.1642886586670005e-19	-6.520025770860249e-20	3.125334145195247e-21
4.164320e-06	-0.3412273228943767	0.376185721630491	-0.016939186149996843	1.6e-10	-1.1181467292375855e-19	-6.507967598553444e-20	2.8688813866129373e-21	-1.2214972902929517e-19	-6.385769967505985e-20	2.935920748521316e-21
4.324480e-06	-0.35384097258863323	0.36277802746767635	-0.01992806816276735	1.6e-10	-1.1616993223021107e-19	-6.27917583234564e-20	3.3921522846629775e-21	-1.264403962226013e-19	-6.155003829185455e-20	3.437402790217879e-21
