#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9678946142182222	0.12033814554005108	-0.2182771812624388	1.6e-10	1.0846507818890317e-19	-6.742718639278665e-21	1.2230389864276698e-20	1.1271120036396404e-19	-7.006682912745864e-21	1.2709171556146576e-20
1.603200e-07	0.9027943648436373	0.4085794812892019	0.01191175566157881	1.6e-10	1.0116976407431861e-19	-2.289329318560271e-20	-6.673956830887629e-22	1.0513027576407115e-19	-2.37895215693746e-20	-6.936004105678698e-22
3.204800e-07	0.833359220556073	0.5158231100126882	-0.0046686094926530215	1.6e-10	9.338869091319373e-20	-2.890228523472752e-20	2.615958183616892e-22	9.704453022292373e-20	-3.0033800069235076e-20	2.718222630351983e-22
4.806400e-07	0.711578924450455	0.6535542443977175	0.0004430362118745011	1.6e-10	7.974162460243827e-20	-3.661956593247539e-20	-2.4788913755598795e-23	8.286324452800616e-20	-3.805318054266784e-20	-2.583264340207743e-23
6.408000e-07	0.5584280392033858	0.7652216215102717	-0.005099542028640276	1.6e-10	6.25791138161038e-20	-4.287643910412811e-20	2.8577317408174545e-22	6.502882128759051e-20	-4.4555018782425143e-20	2.9688004231977836e-22
8.009600e-07	0.3601865001765467	0.8587998281747518	0.005810713788239365	1.6e-10	4.036362115925208e-20	-4.8119766019946807e-20	-3.2554860374730483e-22	4.1943589361107805e-20	-5.000359921137995e-20	-3.3836433706547806e-22
9.611200e-07	0.1856774953815876	0.9085954895425051	0.014399237153657379	1.6e-10	2.0807631385419023e-20	-5.0909883317197755e-20	-8.0675638193740165e-22	2.162204344009597e-20	-5.29029544561284e-20	-8.384512203400372e-22
1.121280e-06	-0.005956321845481185	0.9252099624386554	0.0015395190065673708	1.6e-10	-6.674004837066322e-22	-5.184082675901042e-20	-8.621107000503319e-23	-6.936994349846012e-22	-5.387032007146579e-20	-8.969145362694224e-23
1.281440e-06	-0.18703510485752395	0.9151284988999275	0.0026441817337601037	1.6e-10	-2.0959645011092564e-20	-5.1275963067909326e-20	-1.4810837498364568e-22	-2.1780267429730084e-20	-5.32833113819042e-20	-1.5400884210268357e-22
1.441600e-06	-0.34325038072785863	0.8727293528747088	0.007273337337439889	1.6e-10	-3.8465581173410645e-20	-4.8900283006473976e-20	-4.0747646867995274e-22	-3.9971516585639304e-20	-5.081461801566862e-20	-4.23551867350753e-22
