#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.970397707513481	0.14887287108738892	-0.18760879428242308	1.6e-10	1.1273016945954894e-19	-8.647207521964604e-21	1.0897169835392986e-20	1.0900532593758995e-19	-8.361488718074201e-21	1.0537098241220598e-20
1.603200e-07	0.9643862242325478	0.24501286735390435	0.00038277104254129027	1.6e-10	1.1203182144618544e-19	-1.4231456056800634e-20	-2.2220001520644746e-23	1.0833005238956684e-19	-1.3761216028065668e-20	-2.1510942550700813e-23
3.204800e-07	0.9558055675040683	0.2622356130829694	-0.004805656405215609	1.6e-10	1.1103503127238146e-19	-1.5231797636788356e-20	2.7913976624042976e-22	1.0736616658963798e-19	-1.4728568308342167e-20	2.6990577714832194e-22
4.806400e-07	0.9470599838499902	0.28352188567837816	-0.003271971671203913	1.6e-10	1.100190555831113e-19	-1.6468219120082268e-20	1.9006234917588333e-22	1.0638377942355107e-19	-1.592410010577241e-20	1.8376027404711831e-22
6.408000e-07	0.9329649882151488	0.31111871141547826	-0.0019542289215666617	1.6e-10	1.0838164803521662e-19	-1.8071164612298756e-20	1.1352489031898205e-22	1.0480048576117341e-19	-1.7474086413514028e-20	1.0974601359195899e-22
8.009600e-07	0.9214026962633153	0.32555447791943015	0.00035419203607986503	1.6e-10	1.0703848361790146e-19	-1.890964841716805e-20	-2.0555691931480366e-23	1.0350167170245679e-19	-1.8284885628035798e-20	-1.9909916532109184e-23
9.611200e-07	0.9122259171806109	0.33769946278462837	-0.00606740036428261	1.6e-10	1.059724233136558e-19	-1.9615067773381645e-20	3.5244784871423654e-22	1.024708414693395e-19	-1.896702769709625e-20	3.4075258348431105e-22
1.121280e-06	0.8939149596522317	0.362083329946013	-0.011397191700557502	1.6e-10	1.0384525998105538e-19	-2.1031406633995835e-20	6.620152857222287e-22	1.0041395832335489e-19	-2.0336541474283125e-20	6.401122820163131e-22
1.281440e-06	0.875085117167214	0.39144431200370555	-0.009826961359895463	1.6e-10	1.0165780220069866e-19	-2.2736841908120444e-20	5.708299716297648e-22	9.829880391194782e-20	-2.1985593372872526e-20	5.518999974082801e-22
1.441600e-06	0.84927687786927	0.4254576387781536	-0.003222080036148122	1.6e-10	9.865968219514797e-20	-2.4712489711503124e-20	1.8719050995079761e-22	9.53997512921324e-20	-2.3895961483759427e-20	1.8093314695507613e-22
