#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9671040933714402	0.10876724853179442	-0.2275917249369321	1.6e-10	1.0704358709989186e-19	-6.019430570489892e-21	1.2595458933092685e-20	1.1404561226759346e-19	-6.413183695858537e-21	1.3419357951478546e-20
1.603200e-07	0.8351665140275706	0.5262041709051261	0.018983328489671835	1.6e-10	9.244014785875746e-20	-2.9121340977520286e-20	-1.050550744854109e-21	9.848686290090728e-20	-3.1026301707390377e-20	-1.1193367527256809e-21
3.204800e-07	0.6708727880406026	0.700035816363183	0.013950815649110961	1.6e-10	7.425537712795083e-20	-3.874158666366971e-20	-7.720492449320971e-22	7.91125221919571e-20	-4.1275840471451835e-20	-8.225972524922975e-22
4.806400e-07	0.3969781559231724	0.8521445460389314	-0.0006756587302208988	1.6e-10	4.39394753634314e-20	-4.7159659190103076e-20	3.7427455225547036e-23	4.6813501641009825e-20	-5.024451767486285e-20	3.980047302210049e-23
6.408000e-07	0.12079238248934347	0.9235023288131528	-0.0015788830316770294	1.6e-10	1.336993743692777e-20	-5.1108765085837265e-20	8.741940211099244e-23	1.4244344242570765e-20	-5.445194589849296e-20	9.305088572422033e-23
8.009600e-07	-0.12370786676530038	0.9269219911848852	0.006138095437204952	1.6e-10	-1.3692494147968652e-20	-5.129802764822788e-20	-3.396601542461642e-22	-1.4588307559512487e-20	-5.465356609326771e-20	-3.6195656490886923e-22
9.611200e-07	-0.28987575322322096	0.8997375179857996	0.015592516550689911	1.6e-10	-3.208473713309627e-20	-4.979357213799781e-20	-8.62886386584461e-22	-3.418362416259535e-20	-5.3050707266347584e-20	-9.19415959017688e-22
1.121280e-06	-0.44580049349186174	0.8422653885667204	0.003050097794407908	1.6e-10	-4.9343237323457875e-20	-4.661293253122298e-20	-1.6875829896436272e-22	-5.2571001417821696e-20	-4.966200883881544e-20	-1.7988602618621682e-22
1.281440e-06	-0.5752830305108794	0.7726157123952553	0.010768209198974948	1.6e-10	-6.36749721718051e-20	-4.275836456290373e-20	-5.959121062666842e-22	-6.784020639150446e-20	-4.5555286754298626e-20	-6.349477074783378e-22
1.441600e-06	-0.678384557489971	0.6925262239512536	0.005484171447670983	1.6e-10	-7.508672472864246e-20	-3.832602899596289e-20	-3.034712033599253e-22	-7.999844451335122e-20	-4.083301240745745e-20	-3.2339882863108047e-22
