#t	<mx>	<my>	<mz>	Dt	B_x@(0.2,0,0)	B_y@(0.2,0,0)	B_z@(0.2,0,0)	B_x@(-0.2,0,0)	B_y@(-0.2,0,0)	B_z@(-0.2,0,0)
1.600000e-10	0.9713802458202861	0.1576184522574427	-0.17504860189100307	1.6e-10	1.1438332483524997e-19	-9.280052704317567e-21	1.0306287084756468e-20	1.0767024500311829e-19	-8.735415452632035e-21	9.701412062053374e-21
1.603200e-07	0.9726765614945788	0.2138507392490366	0.0019211584575973579	1.6e-10	1.1453597081944306e-19	-1.2590825916298211e-20	-1.1310472374800485e-22	1.0781393153637607e-19	-1.1851878324520033e-20	-1.0647925520096018e-22
3.204800e-07	0.9697216207281297	0.21594974549559928	-0.003946701322084516	1.6e-10	1.141880271429454e-19	-1.2714382222885441e-20	2.323791351237472e-22	1.0748638860715611e-19	-1.1968232125646218e-20	2.187215974920334e-22
4.806400e-07	0.9676370396967233	0.21841289053441834	-0.0025253113485508723	1.6e-10	1.1394255572198488e-19	-1.2859414850368564e-20	1.4869248305302426e-22	1.0725533290924518e-19	-1.2104732797368962e-20	1.3994627667942733e-22
6.408000e-07	0.9619913465727193	0.22816245952982878	0.0013919896347979522	1.6e-10	1.1327775059610708e-19	-1.3433435845870337e-20	-8.1945898892126e-23	1.0662955513802636e-19	-1.264506758131104e-20	-7.715491917576039e-23
8.009600e-07	0.9585872460834427	0.22827543090150895	0.003736208238912668	1.6e-10	1.1287691869393426e-19	-1.3440077936756902e-20	-2.1996296892851973e-22	1.0625222449433972e-19	-1.2651337168365671e-20	-2.0707704811984402e-22
9.611200e-07	0.9567403551446971	0.22668110651521994	-0.00905247733932313	1.6e-10	1.126594369664837e-19	-1.3346198328745531e-20	5.330025308548399e-22	1.0604751415852313e-19	-1.2562987887329952e-20	5.016789502451244e-22
1.121280e-06	0.952329422223498	0.23065053634412874	-0.012996322293664117	1.6e-10	1.1214003227941836e-19	-1.3579922770813965e-20	7.651824947584708e-22	1.0555859735417884e-19	-1.2782962552826024e-20	7.202708405368583e-22
1.281440e-06	0.945640417931337	0.2433156437534424	-0.00786567655555663	1.6e-10	1.1135237029275846e-19	-1.4325626099403382e-20	4.6312965760047625e-22	1.048171794922151e-19	-1.3484857051606559e-20	4.359030677192881e-22
1.441600e-06	0.9394834207655539	0.25524676211382485	-0.0009194735887090064	1.6e-10	1.106273621367463e-19	-1.5028086968702684e-20	5.416237654750474e-23	1.0413472309675462e-19	-1.4146098417126006e-20	5.093366019549285e-23
1.601760e-06	0.937120708267956	0.2592390050122305	0.005728125910573019	1.6e-10	1.1034915412671427e-19	-1.5263134989781186e-20	-3.372216582710227e-22	1.0387282537748247e-19	-1.436735547347232e-20	-3.1748903402784947e-22
1.761920e-06	0.9344597047312484	0.2511858281662571	0.008823574395758791	1.6e-10	1.10035804391276e-19	-1.478899910894776e-20	-5.194622859112807e-22	1.0357787995372717e-19	-1.3921030298133465e-20	-4.890511579686369e-22
1.922080e-06	0.9298770678828875	0.25554172775067824	0.01769496182662827	1.6e-10	1.0949618216531237e-19	-1.5045472427129946e-20	-1.0417898451009122e-21	1.03069929961413e-19	-1.4162428391642077e-20	-9.807058645031748e-22
2.082240e-06	0.9273830217134285	0.2565630024332708	0.020429838264893436	1.6e-10	1.092025074179389e-19	-1.5105589607922147e-20	-1.2027974579928191e-21	1.0279347650111972e-19	-1.4219039891199642e-20	-1.1322880638038387e-21
2.242400e-06	0.9244923560476079	0.25385257136688893	0.011891187025376249	1.6e-10	1.0886212460671774e-19	-1.4946003639223675e-20	-7.000712432503987e-22	1.0247306513274914e-19	-1.406882873886819e-20	-6.590639285203598e-22
2.402560e-06	0.9178728554427663	0.2582545251082912	0.014685015740855912	1.6e-10	1.080826337276139e-19	-1.5205205917122355e-20	-8.645486707203257e-22	1.0173936340155359e-19	-1.4312763120533772e-20	-8.1391435311600105e-22
