#position_x	position_y	position_z	radius	msat
0	0	0	1.382196517020773e-08	400000
1e+07	0	0	4.914279422106843e-08	400000
2e+07	0	0	5.610430800625265e-08	400000
3e+07	0	0	2.2452119352569434e-08	400000
4e+07	0	0	3.7953808482847044e-08	400000
5e+07	0	0	2.540893898673657e-08	400000
6e+07	0	0	2.3442775796226536e-08	400000
7e+07	0	0	2.4665966085156828e-08	400000
8e+07	0	0	4.418860541336862e-08	400000
9e+07	0	0	1.0460726644151972e-08	400000
1e+08	0	0	1.128838966501207e-08	400000
1.1e+08	0	0	2.2410636255303656e-08	400000
1.2e+08	0	0	1.0164804825832896e-08	400000
1.3e+08	0	0	5.8629444032639856e-08	400000
1.4e+08	0	0	5.1717857692855565e-08	400000
1.5e+08	0	0	4.155619041653015e-08	400000
1.6e+08	0	0	1.6297099324485437e-08	400000
1.7e+08	0	0	1.718451597390438e-08	400000
1.8e+08	0	0	4.4933074610691e-08	400000
1.9e+08	0	0	2.3936032881840185e-08	400000
2e+08	0	0	3.998395582062977e-08	400000
2.1e+08	0	0	2.3417106284534286e-08	400000
2.2e+08	0	0	4.196579996479652e-08	400000
2.3e+08	0	0	2.5002045720024154e-08	400000
2.4e+08	0	0	2.625004419866705e-08	400000
2.5e+08	0	0	4.365799443646493e-08	400000
2.6e+08	0	0	1.551994918571965e-08	400000
2.7e+08	0	0	1.8427264659684458e-08	400000
2.8e+08	0	0	2.8801749924710687e-08	400000
2.9e+08	0	0	3.5458612756924526e-08	400000
3e+08	0	0	3.928684940295473e-08	400000
3.1e+08	0	0	1.4875784461331614e-08	400000
3.2e+08	0	0	3.6136693181807204e-08	400000
3.3e+08	0	0	1.6639814965535e-08	400000
3.4e+08	0	0	1.2684624424697259e-08	400000
3.5e+08	0	0	7.267124124397859e-09	400000
3.6e+08	0	0	2.6557169071282883e-08	400000
3.7e+08	0	0	8.882814757847358e-08	400000
3.8e+08	0	0	5.397307811756724e-08	400000
3.9e+08	0	0	2.7803011632341347e-08	400000
4e+08	0	0	5.328815617920528e-08	400000
4.1e+08	0	0	1.0028084156628217e-08	400000
4.2e+08	0	0	4.0472628093186596e-08	400000
4.3e+08	0	0	3.47570328987682e-08	400000
4.4e+08	0	0	4.683033832019839e-08	400000
4.5e+08	0	0	4.14133534212124e-08	400000
4.6e+08	0	0	1.3343340100997737e-08	400000
4.7e+08	0	0	1.2933369010978363e-08	400000
4.8e+08	0	0	1.3079566601535419e-08	400000
4.9e+08	0	0	1.3671428893065705e-08	400000
5e+08	0	0	3.946614504720583e-08	400000
5.1e+08	0	0	2.353718785292465e-08	400000
5.2e+08	0	0	3.9180050175697086e-08	400000
5.3e+08	0	0	5.8129672468546194e-08	400000
5.4e+08	0	0	1.4473587967155505e-08	400000
5.5e+08	0	0	1.704903095074328e-08	400000
5.6e+08	0	0	9.067821950420738e-09	400000
5.7e+08	0	0	9.874532630442707e-09	400000
5.8e+08	0	0	1.6940749115221877e-08	400000
5.9e+08	0	0	2.2534480103274852e-08	400000
6e+08	0	0	1.8325352022770115e-08	400000
6.1e+08	0	0	1.8132710790198417e-08	400000
6.2e+08	0	0	2.1251761599689057e-08	400000
6.3e+08	0	0	3.805495235420132e-08	400000
6.4e+08	0	0	9.568605898706584e-08	400000
6.5e+08	0	0	8.524508331199055e-09	400000
6.6e+08	0	0	3.372817898236995e-08	400000
6.7e+08	0	0	6.219266838831522e-08	400000
6.8e+08	0	0	1.7339840536410997e-08	400000
6.9e+08	0	0	1.811952235203085e-08	400000
7e+08	0	0	2.352064676691023e-08	400000
7.1e+08	0	0	2.6577829916391982e-08	400000
7.2e+08	0	0	2.297042711115471e-08	400000
7.3e+08	0	0	1.2970646168458899e-08	400000
7.4e+08	0	0	5.960564371245839e-08	400000
7.5e+08	0	0	1.0602795571275407e-08	400000
7.6e+08	0	0	3.997629475452865e-08	400000
7.7e+08	0	0	1.0310030849811073e-07	400000
7.8e+08	0	0	8.211914267830473e-09	400000
7.9e+08	0	0	2.7434455828488338e-08	400000
8e+08	0	0	1.9033344427446852e-08	400000
8.1e+08	0	0	3.542952319971237e-08	400000
8.2e+08	0	0	4.1043511009997616e-08	400000
8.3e+08	0	0	2.5073938818301368e-08	400000
8.4e+08	0	0	4.433654884395865e-08	400000
