#position_x	position_y	position_z	radius	msat
0	0	0	1.382196517020773e-08	400000
1e+07	0	0	2.2700539126753446e-08	400000
2e+07	0	0	2.2452119352569434e-08	400000
3e+07	0	0	3.7953808482847044e-08	400000
4e+07	0	0	2.540893898673657e-08	400000
5e+07	0	0	2.649346017649828e-08	400000
6e+07	0	0	2.3442775796226536e-08	400000
7e+07	0	0	2.4665966085156828e-08	400000
8e+07	0	0	1.128838966501207e-08	400000
9e+07	0	0	3.189551759421665e-08	400000
1e+08	0	0	2.2410636255303656e-08	400000
1.1e+08	0	0	5.8629444032639856e-08	400000
1.2e+08	0	0	4.155619041653015e-08	400000
1.3e+08	0	0	2.072809161972489e-08	400000
1.4e+08	0	0	1.6297099324485437e-08	400000
1.5e+08	0	0	1.718451597390438e-08	400000
1.6e+08	0	0	2.8287011088991353e-08	400000
1.7e+08	0	0	2.3936032881840185e-08	400000
1.8e+08	0	0	2.328834433251617e-08	400000
1.9e+08	0	0	3.998395582062977e-08	400000
2e+08	0	0	2.3417106284534286e-08	400000
2.1e+08	0	0	4.196579996479652e-08	400000
2.2e+08	0	0	2.4078238409820545e-08	400000
2.3e+08	0	0	2.5002045720024154e-08	400000
2.4e+08	0	0	2.625004419866705e-08	400000
2.5e+08	0	0	2.4971992139213585e-08	400000
2.6e+08	0	0	4.365799443646493e-08	400000
2.7e+08	0	0	1.551994918571965e-08	400000
2.8e+08	0	0	1.8427264659684458e-08	400000
2.9e+08	0	0	2.617307125585668e-08	400000
3e+08	0	0	2.8801749924710687e-08	400000
3.1e+08	0	0	3.5458612756924526e-08	400000
3.2e+08	0	0	3.928684940295473e-08	400000
3.3e+08	0	0	2.6556694776810454e-08	400000
3.4e+08	0	0	1.4875784461331614e-08	400000
3.5e+08	0	0	2.190385484161635e-08	400000
3.6e+08	0	0	3.6136693181807204e-08	400000
3.7e+08	0	0	1.6639814965535e-08	400000
3.8e+08	0	0	1.850321626018292e-08	400000
3.9e+08	0	0	2.6557169071282883e-08	400000
4e+08	0	0	5.397307811756724e-08	400000
4.1e+08	0	0	2.7803011632341347e-08	400000
4.2e+08	0	0	2.8708344896117354e-08	400000
4.3e+08	0	0	4.0472628093186596e-08	400000
4.4e+08	0	0	3.47570328987682e-08	400000
4.5e+08	0	0	4.14133534212124e-08	400000
4.6e+08	0	0	2.4810474251750144e-08	400000
4.7e+08	0	0	3.084071007979767e-08	400000
4.8e+08	0	0	3.098789002501198e-08	400000
4.9e+08	0	0	1.3079566601535419e-08	400000
5e+08	0	0	1.3671428893065705e-08	400000
5.1e+08	0	0	2.114930860766902e-08	400000
5.2e+08	0	0	2.5243105984823023e-08	400000
5.3e+08	0	0	3.946614504720583e-08	400000
5.4e+08	0	0	2.353718785292465e-08	400000
5.5e+08	0	0	3.9180050175697086e-08	400000
5.6e+08	0	0	1.4473587967155505e-08	400000
5.7e+08	0	0	3.034739654178631e-08	400000
5.8e+08	0	0	1.704903095074328e-08	400000
5.9e+08	0	0	1.6940749115221877e-08	400000
6e+08	0	0	2.938511464099133e-08	400000
6.1e+08	0	0	2.2534480103274852e-08	400000
6.2e+08	0	0	1.8325352022770115e-08	400000
6.3e+08	0	0	1.8132710790198417e-08	400000
6.4e+08	0	0	2.4984283674023594e-08	400000
6.5e+08	0	0	2.1251761599689057e-08	400000
6.6e+08	0	0	2.1651700494301797e-08	400000
6.7e+08	0	0	3.805495235420132e-08	400000
6.8e+08	0	0	2.6613312808041574e-08	400000
6.9e+08	0	0	2.185673555859636e-08	400000
7e+08	0	0	3.372817898236995e-08	400000
7.1e+08	0	0	2.6714484037092435e-08	400000
7.2e+08	0	0	1.7339840536410997e-08	400000
7.3e+08	0	0	1.811952235203085e-08	400000
7.4e+08	0	0	2.352064676691023e-08	400000
7.5e+08	0	0	1.7487028318436483e-08	400000
7.6e+08	0	0	2.297042711115471e-08	400000
7.7e+08	0	0	1.2970646168458899e-08	400000
7.8e+08	0	0	3.133680620616126e-08	400000
7.9e+08	0	0	1.0602795571275407e-08	400000
8e+08	0	0	3.997629475452865e-08	400000
8.1e+08	0	0	2.7434455828488338e-08	400000
8.2e+08	0	0	1.9033344427446852e-08	400000
8.3e+08	0	0	3.542952319971237e-08	400000
8.4e+08	0	0	4.1043511009997616e-08	400000
8.5e+08	0	0	2.5073938818301368e-08	400000
8.6e+08	0	0	4.433654884395865e-08	400000
8.7e+08	0	0	1.9657856376922e-08	400000
8.8e+08	0	0	2.6652307287353616e-08	400000
8.9e+08	0	0	1.653651546537555e-08	400000
9e+08	0	0	2.448931667096434e-08	400000
9.1e+08	0	0	1.5494372337368074e-08	400000
9.2e+08	0	0	2.5183915439683892e-08	400000
9.3e+08	0	0	2.0155042745719053e-08	400000
9.4e+08	0	0	2.3801771102256905e-08	400000
9.5e+08	0	0	3.5575972517046584e-08	400000
9.6e+08	0	0	3.825899869512571e-08	400000
9.7e+08	0	0	4.282571502860594e-08	400000
9.8e+08	0	0	3.6179926293742e-08	400000
9.9e+08	0	0	2.7139310631336757e-08	400000
1e+09	0	0	4.789987452354157e-08	400000
1.01e+09	0	0	2.9018198280015926e-08	400000
1.02e+09	0	0	3.6134512434468116e-08	400000
1.03e+09	0	0	1.5986843238486182e-08	400000
1.04e+09	0	0	2.772205289779632e-08	400000
1.05e+09	0	0	1.48286693800171e-08	400000
1.06e+09	0	0	1.5833176195054873e-08	400000
1.07e+09	0	0	2.8964325380444668e-08	400000
1.08e+09	0	0	3.7311198643169586e-08	400000
1.09e+09	0	0	2.7010721456594903e-08	400000
1.1e+09	0	0	1.9496695605632863e-08	400000
1.11e+09	0	0	2.9111570793614068e-08	400000
1.12e+09	0	0	1.7722155037722594e-08	400000
1.13e+09	0	0	3.6557606762111405e-08	400000
1.14e+09	0	0	1.545155317530803e-08	400000
1.15e+09	0	0	3.150723341715613e-08	400000
1.16e+09	0	0	2.4381652558476772e-08	400000
1.17e+09	0	0	3.444591047786686e-08	400000
1.18e+09	0	0	1.3865179489439663e-08	400000
1.19e+09	0	0	2.4541569505540683e-08	400000
