#position_x	position_y	position_z	radius	msat
0	0	0	1.0759734111352173e-08	400000
1e+07	0	0	5.528786068083092e-09	400000
2e+07	0	0	1.082984293952893e-08	400000
3e+07	0	0	9.080215650701379e-09	400000
4e+07	0	0	1.7738465978636204e-08	400000
5e+07	0	0	8.980847741027773e-09	400000
6e+07	0	0	7.329568926223514e-09	400000
7e+07	0	0	1.5181523393138818e-08	400000
8e+07	0	0	1.2193533533982264e-08	400000
9e+07	0	0	1.0860593692271253e-08	400000
1e+08	0	0	1.2152355097560887e-08	400000
1.1e+08	0	0	1.6552058412866133e-08	400000
1.2e+08	0	0	1.0163575594694629e-08	400000
1.3e+08	0	0	1.0597384070599312e-08	400000
1.4e+08	0	0	1.3706773184069273e-08	400000
1.5e+08	0	0	9.377110318490614e-09	400000
1.6e+08	0	0	9.86638643406273e-09	400000
1.7e+08	0	0	1.7675442165347445e-08	400000
1.8e+08	0	0	1.0819859757701006e-08	400000
1.9e+08	0	0	7.669392073799494e-09	400000
2e+08	0	0	8.464709458376473e-09	400000
2.1e+08	0	0	1.275820703768666e-08	400000
2.2e+08	0	0	8.964254502121462e-09	400000
2.3e+08	0	0	2.3451777613055943e-08	400000
2.4e+08	0	0	1.2405134822730295e-08	400000
2.5e+08	0	0	2.0687143077142226e-08	400000
2.6e+08	0	0	1.662247616661206e-08	400000
2.7e+08	0	0	1.1154549105630438e-08	400000
2.8e+08	0	0	1.4798375642430198e-08	400000
2.9e+08	0	0	8.291236647889956e-09	400000
3e+08	0	0	6.518839729794175e-09	400000
3.1e+08	0	0	6.873806389561752e-09	400000
3.2e+08	0	0	8.133773342318389e-09	400000
3.3e+08	0	0	1.7973229844276406e-08	400000
3.4e+08	0	0	9.620266099238974e-09	400000
3.5e+08	0	0	9.017153274129324e-09	400000
3.6e+08	0	0	8.485699665318892e-09	400000
3.7e+08	0	0	1.1314804435596543e-08	400000
3.8e+08	0	0	9.574413152736072e-09	400000
3.9e+08	0	0	9.315337733006468e-09	400000
4e+08	0	0	7.52240812434968e-09	400000
4.1e+08	0	0	9.184468216947228e-09	400000
4.2e+08	0	0	1.599358232825191e-08	400000
4.3e+08	0	0	8.823074961323053e-09	400000
4.4e+08	0	0	9.366842513813714e-09	400000
4.5e+08	0	0	1.6786319985918608e-08	400000
4.6e+08	0	0	1.166164949589177e-08	400000
4.7e+08	0	0	1.0000818288009663e-08	400000
4.8e+08	0	0	1.0500017679466822e-08	400000
4.9e+08	0	0	6.207979674287859e-09	400000
5e+08	0	0	7.370905863873783e-09	400000
5.1e+08	0	0	1.4183445102769811e-08	400000
5.2e+08	0	0	1.5714739761181895e-08	400000
5.3e+08	0	0	9.897637242644352e-09	400000
5.4e+08	0	0	1.1982888910026671e-08	400000
5.5e+08	0	0	1.0622677910724182e-08	400000
5.6e+08	0	0	5.950313784532645e-09	400000
5.7e+08	0	0	8.76154193664654e-09	400000
5.8e+08	0	0	1.3175120341508693e-08	400000
5.9e+08	0	0	1.4893292437835701e-08	400000
6e+08	0	0	1.1972331876154293e-08	400000
6.1e+08	0	0	1.9427608475359947e-08	400000
6.2e+08	0	0	1.445467727272288e-08	400000
6.3e+08	0	0	8.597546487111707e-09	400000
6.4e+08	0	0	1.0640954671177781e-08	400000
6.5e+08	0	0	6.4814488860307445e-09	400000
6.6e+08	0	0	1.1465803302804093e-08	400000
6.7e+08	0	0	1.2198316414286257e-08	400000
6.8e+08	0	0	2.1589231247026895e-08	400000
6.9e+08	0	0	1.3094704002104997e-08	400000
7e+08	0	0	1.1121204652936538e-08	400000
7.1e+08	0	0	1.1483337958446942e-08	400000
7.2e+08	0	0	6.30211234767187e-09	400000
7.3e+08	0	0	1.1114496867875687e-08	400000
7.4e+08	0	0	4.011233662651287e-09	400000
7.5e+08	0	0	1.2334681266173311e-08	400000
7.6e+08	0	0	1.6189051237274638e-08	400000
7.7e+08	0	0	1.045170342070156e-08	400000
7.8e+08	0	0	9.454155879462645e-09	400000
7.9e+08	0	0	1.3902813159507278e-08	400000
8e+08	0	0	8.84741012704595e-09	400000
